crate_name,version,result
termtree,,success
test-case-core,,success
test-log,,success
textwrap,,success
thiserror,,success
thread_local,,success
threadpool,,success
tiff,,success
tikv-jemalloc-sys,,failure
tikv-jemallocator,,failure
time,,success
time-core,,success
time-macros,,success
time-macros-impl,,success
tinystr,,failure
tinytemplate,,success
tinyvec,,success
tinyvec_macros,,success
tokio,,success
tokio-executor,,success
tokio-macros,,success
tokio-native-tls,,success
tokio-retry,,success
tokio-rustls,,success
tokio-test,,success
tokio-tungstenite,,success
toml,,success
toml_datetime,,success
toml_edit,,success
tonic-build,,failure
tonic-health,,failure
tower,,success
tower-http,,failure
tower-layer,,success
tower-service,,success
tracing,,success
tracing-appender,,success
tracing-core,,success
tracing-futures,,success
tracing-log,,success
tracing-opentelemetry,,success
tracing-serde,,success
tracing-subscriber,,success
triomphe,,success
trust-dns-proto,,failure
trust-dns-resolver,,failure
ttf-parser,,success
tungstenite,,success
twox-hash,,success
typed-arena,,success
typed-builder,,success
typenum,,success
ucd-trie,,success
uint,,failure
unarray,,success
uncased,,success
unicase,,success
unicode-linebreak,,failure
unicode-normalization,,success
unicode-properties,,success
unicode-width,,success
unicode-xid,,success
unicode_categories,,success
universal-hash,,failure
unreachable,,success
unsafe-libyaml,,success
unsigned-varint,,success
untrusted,,success
url,,success
utf-8,,success
utf16_iter,,success
utf8_iter,,success
utf8parse,,success
uuid,,success
valuable,,success
value-bag,,success
vcpkg,,success
void,,success
vsimd,,success
wait-timeout,,success
waker-fn,,success
walkdir,,success
wasi,,failure
wasm-streams,,success
web-time,,success
webpki,,success
weezl,,success
wgpu,,failure
which,,success
whoami,,failure
winapi-build,,success
winapi-i686-pc-windows-gnu,,success
winapi-x86_64-pc-windows-gnu,,success
windows,,failure
windows-core,,failure
windows-implement,,failure
windows-interface,,failure
windows-registry,,failure
windows-result,,failure
windows-strings,,failure
windows_aarch64_gnullvm,,failure
windows_i686_gnu,,failure
windows_i686_gnullvm,,failure
windows_i686_msvc,,failure
windows_x86_64_gnu,,failure
windows_x86_64_gnullvm,,failure
windows_x86_64_msvc,,failure
winnow,,success
winreg,,failure
wit-bindgen-rt,,success
write16,,success
writeable,,failure
wyz,,success
x509-parser,,success
xattr,,success
xml-rs,,success
xmlparser,,success
xz2,,success
yaml-rust,,success
yansi,,success
yasna,,success
yoke,,failure
zerocopy,,success
zerocopy-derive,,success
zerofrom,,failure
zerovec,,failure
zerovec-derive,,failure
zip,,failure
zstd,,failure
zstd-sys,,failure
